order_id,customer_id,order_amount,order_status,order_date,updated_at
1001,501,250.00,NEW,2026-01-09,2026-01-09 10:00:00
1002,502,-15.00,PROCESSING,2026-01-10,2026-01-10 11:00:00
1003,,125.00,COMPLETED,2026-01-11,2026-01-11 12:00:00
,504,70.00,NEW,2026-01-12,2026-01-12 13:00:00
1004,505,80.00,completed,2026-01-13,2026-01-13 14:00:00
1005,506,95.00,INVALID,2026-01-14,2026-01-14 15:00:00
1001,501,250.00,NEW,2026-01-09,2026-01-09 16:00:00
1006,507,110.00,PROCESSING,2027-01-01,2026-01-15 17:00:00
1007,508,120.00,NEW,not-a-date,2026-01-16 18:00:00
1008,509,135.00,COMPLETED,2026-01-17,2026-01-17 19:00:00
